         104           12            0            2          44.9826             2.85 
         105           12            0            2          17.9489          1.79611 
         106           12            0            2          53.9707             2.85 
         103            2            0            3          4.65117         0.465433 
         104            2            0            3          10.2556             2.85 
         105            2            0            3          6.07794         0.608206 
         106            2            0            3          8.95463             2.85 
         103            3            0            3          6.33553         0.633983 
         104            3            0            3          14.4968             2.85 
         105            3            0            3          8.57854         0.858436 
         106            3            0            3          12.3853             2.85 
         103            4            0            3          7.98197         0.798738 
         104            4            0            3           17.836             2.85 
         105            4            0            3          11.2447          1.12523 
         106            4            0            3          16.0667             2.85 
         103            5            0            3          9.58122         0.958773 
         104            5            0            3          22.2403             2.85 
         105            5            0            3            15.06          1.50702 
         106            5            0            3          21.3739             2.85 
         103            6            0            3          11.3096          1.13172 
         104            6            0            3          29.5648             2.85 
         105            6            0            3          18.8505          1.88633 
         106            6            0            3          23.4751             2.85 
         103            7            0            3          12.9669          1.29757 
         104            7            0            3           29.943             2.85 
         105            7            0            3          21.7333           2.1748 
         106            7            0            3          27.9372             2.85 
         103            8            0            3          14.2575          1.42672 
         104            8            0            3           31.347             2.85 
         105            8            0            3          19.8644          1.98779 
         106            8            0            3          34.5218             2.85 
         103            9            0            3          17.5083          1.75201 
         104            9            0            3          39.4836             2.85 
         105            9            0            3          22.8484          2.28639 
         106            9            0            3          41.2157             2.85 
         103           10            0            3           15.085          1.50952 
         104           10            0            3          42.9577             2.85 
         105           10            0            3          21.5597          2.15743 
         106           10            0            3          44.9297             2.85 
         103           11            0            3          16.2396          1.62506 
         104           11            0            3          47.7877             2.85 
         105           11            0            3          22.7269          2.27423 
         106           11            0            3          48.3752             2.85 
         103           12            0            3          15.4669          1.54774 
         104           12            0            3          46.0941             2.85 
         105           12            0            3          21.3786          2.13931 
         106           12            0            3          52.7029             2.85 
         103            2            0            4          6.40172         0.640606 
         104            2            0            4          13.8109             2.85 
         105            2            0            4          11.6765          1.16844 
         106            2            0            4          10.6143             2.85 
         103            3            0            4           8.2469          0.82525 
         104            3            0            4          17.3403             2.85 
         105            3            0            4          16.2558          1.62669 
         106            3            0            4          13.7148             2.85 
         103            4            0            4          10.2707          1.02776 
         104            4            0            4          20.9671             2.85 
         105            4            0            4          20.1274          2.01411 
         106            4            0            4          15.7956             2.85 
         103            5            0            4          11.9795          1.19877 
         104            5            0            4          25.4223             2.85 
         105            5            0            4          25.3711          2.53883 
         106            5            0            4          21.4632             2.85 
         103            6            0            4          13.2137          1.32226 
         104            6            0            4          29.5645             2.85 
         105            6            0            4          31.7619          3.17834 
         106            6            0            4            27.49             2.85 
         103            7            0            4          13.7631          1.37724 
         104            7            0            4          30.2048             2.85 
         105            7            0            4          35.8883          3.59127 
         106            7            0            4          35.7286             2.85 
         103            8            0            4          18.5804           1.8593 
         104            8            0            4          35.0806             2.85 
         105            8            0            4          36.0584          3.60829 
         106            8            0            4          40.9625             2.85 
         103            9            0            4          18.2627          1.82751 
         104            9            0            4          38.0466             2.85 
         105            9            0            4          34.2016          3.42248 
         106            9            0            4          46.5376             2.85 
         103           10            0            4          18.3045          1.83169 
         104           10            0            4          39.1132             2.85 
         105           10            0            4          32.8923          3.29146 
         106           10            0            4          49.8193             2.85 
         103           11            0            4          19.9781          1.99917 
         104           11            0            4          41.3326             2.85 
         105           11            0            4          29.4272          2.94472 
         106           11            0            4          53.2038             2.85 
         103           12            0            4          20.4115          2.04254 
         104           12            0            4          40.6859             2.85 
         105           12            0            4          27.8964          2.79153 
         106           12            0            4          56.0522             2.85 
         103            2            0            5          6.65466         0.665917 
         104            2            0            5          12.2275             2.85 
         105            2            0            5          8.17059         0.817613 
         106            2            0            5          10.5643             2.85 
         103            3            0            5          8.99449         0.900059 
         104            3            0            5          16.4039             2.85 
         105            3            0            5          11.4598          1.14676 
         106            3            0            5          15.2304             2.85 
         103            4            0            5          11.1622          1.11698 
         104            4            0            5          18.9132             2.85 
         105            4            0            5          13.4468          1.34559 
         106            4            0            5          18.2049             2.85 
         103            5            0            5          12.5974          1.26059 
         104            5            0            5          26.5051             2.85 
         105            5            0            5          18.2287          1.82411 
         106            5            0            5          25.1584             2.85 
         103            6            0            5          14.7155          1.47255 
         104            6            0            5          30.3016             2.85 
         105            6            0            5          22.3566          2.23717 
         106            6            0            5          26.2954             2.85 
         103            7            0            5          17.1379          1.71495 
         104            7            0            5          30.8956             2.85 
         105            7            0            5          25.6284          2.56458 
         106            7            0            5          33.2617             2.85 
         103            8            0            5          20.7829           2.0797 
         104            8            0            5          35.7705             2.85 
         105            8            0            5          27.9854          2.80044 
         106            8            0            5          38.2231             2.85 
         103            9            0            5          21.0363          2.10506 
         104            9            0            5          39.3901             2.85 
         105            9            0            5          27.7436          2.77624 
         106            9            0            5          44.1067             2.85 
         103           10            0            5          21.0064          2.10206 
         104           10            0            5          41.5732             2.85 
         105           10            0            5           23.473          2.34889 
         106           10            0            5          48.8048             2.85 
         103           11            0            5          20.2599          2.02737 
         104           11            0            5          44.6278             2.85 
         105           11            0            5          22.8902          2.29058 
         106           11            0            5          50.7949             2.85 
         103           12            0            5          23.7986          2.38148 
         104           12            0            5          48.9796             2.85 
         105           12            0            5          20.7224          2.07365 
         106           12            0            5          54.9393             2.85 
         103            2            0            6           6.2846         0.628886 
         104            2            0            6          12.5855             2.85 
         105            2            0            6          10.4478          1.04549 
         106            2            0            6          11.5622             2.85 
         103            3            0            6          8.20487         0.821044 
         104            3            0            6          17.5934             2.85 
         105            3            0            6          15.0194          1.50296 
         106            3            0            6          14.3476             2.85 
         103            4            0            6           11.184          1.11916 
         104            4            0            6          18.7653             2.85 
         105            4            0            6          18.7976          1.88104 
         106            4            0            6          18.6668             2.85 
         103            5            0            6          12.7146          1.27232 
         104            5            0            6           25.121             2.85 
         105            5            0            6          24.2505           2.4267 
         106            5            0            6          24.1801             2.85 
         103            6            0            6           12.942          1.29508 
         104            6            0            6          27.6152             2.85 
         105            6            0            6          28.7603          2.87799 
         106            6            0            6          29.0323             2.85 
         103            7            0            6          15.2565          1.52669 
         104            7            0            6           29.921             2.85 
         105            7            0            6          32.9278          3.29502 
         106            7            0            6          35.8489             2.85 
         103            8            0            6          17.3068          1.73186 
         104            8            0            6          29.4657             2.85 
         105            8            0            6          33.9016          3.39246 
         106            8            0            6          39.8328             2.85 
         103            9            0            6          15.5674           1.5578 
         104            9            0            6          37.9704             2.85 
         105            9            0            6          32.8446          3.28669 
         106            9            0            6            46.95             2.85 
         103           10            0            6          17.7395          1.77516 
         104           10            0            6           37.011             2.85 
         105           10            0            6          30.2182          3.02387 
         106           10            0            6          50.1978             2.85 
         103           11            0            6          22.3794          2.23946 
         104           11            0            6          39.8521             2.85 
         105           11            0            6          25.0388          2.50558 
         106           11            0            6          54.0315             2.85 
         103           12            0            6          21.1147           2.1129 
         104           12            0            6          40.9812             2.85 
         105           12            0            6          22.9812          2.29968 
         106           12            0            6          57.2414             2.85 
         103            2            0            7          5.13806         0.514155 
         104            2            0            7          11.4863             2.85 
         105            2            0            7          6.12093         0.612509 
         106            2            0            7          9.59366             2.85 
         103            3            0            7           6.9791         0.698383 
         104            3            0            7          14.0653             2.85 
         105            3            0            7          8.35773          0.83634 
         106            3            0            7           12.259             2.85 
         103            4            0            7          9.07541         0.908157 
         104            4            0            7          17.6278             2.85 
         105            4            0            7          10.3131          1.03201 
         106            4            0            7          15.9043             2.85 
         103            5            0            7           10.528          1.05351 
         104            5            0            7          23.0536             2.85 
         105            5            0            7          13.3261          1.33351 
         106            5            0            7          19.5895             2.85 
         103            6            0            7          13.9457          1.39552 
         104            6            0            7          24.2593             2.85 
         105            6            0            7          17.7343          1.77463 
         106            6            0            7          23.2158             2.85 
         103            7            0            7           16.088          1.60989 
         104            7            0            7            28.66             2.85 
         105            7            0            7          22.2047          2.22197 
         106            7            0            7           28.636             2.85 
         103            8            0            7          17.0298          1.70414 
         104            8            0            7          31.6669             2.85 
         105            8            0            7          23.5913          2.36073 
         106            8            0            7          36.0851             2.85 
         103            9            0            7          19.6907          1.97041 
         104            9            0            7           37.402             2.85 
         105            9            0            7          25.3168           2.5334 
         106            9            0            7          42.6292             2.85 
         103           10            0            7             19.3          1.93131 
         104           10            0            7          38.7781             2.85 
         105           10            0            7          23.1883           2.3204 
         106           10            0            7          47.1604             2.85 
         103           11            0            7          20.3117          2.03255 
         104           11            0            7          41.0356             2.85 
         105           11            0            7          20.3977          2.04116 
         106           11            0            7          51.9614             2.85 
         103           12            0            7          18.9947          1.90076 
         104           12            0            7          44.1763             2.85 
         105           12            0            7          19.0852          1.90982 
         106           12            0            7          55.5857             2.85 
         103            2            0            8          5.31469          0.53183 
         104            2            0            8          10.5001             2.85 
         105            2            0            8          8.14199         0.814752 
         106            2            0            8          5.46287             2.85 
         103            3            0            8          6.87058         0.687525 
         104            3            0            8          15.6011             2.85 
         105            3            0            8           11.081          1.10885 
         106            3            0            8          10.9785             2.85 
         103            4            0            8          9.75384         0.976046 
         104            4            0            8          20.3377             2.85 
         105            4            0            8          14.3011          1.43108 
         106            4            0            8          13.3971             2.85 
         103            5            0            8          11.0023          1.10098 
         104            5            0            8          21.5787             2.85 
         105            5            0            8          18.4623          1.84748 
         106            5            0            8          18.6011             2.85 
         103            6            0            8          13.0022           1.3011 
         104            6            0            8          23.0872             2.85 
         105            6            0            8          23.6151          2.36311 
         106            6            0            8          24.7604             2.85 
         103            7            0            8          13.5885          1.35977 
         104            7            0            8          28.9074             2.85 
         105            7            0            8          27.8576          2.78765 
         106            7            0            8          29.9146             2.85 
         103            8            0            8          17.7055          1.77175 
         104            8            0            8          31.8188             2.85 
         105            8            0            8          28.5804          2.85998 
         106            8            0            8          38.9907             2.85 
         103            9            0            8          22.1211          2.21361 
         104            9            0            8          31.6792             2.85 
         105            9            0            8           29.236          2.92558 
         106            9            0            8           41.019             2.85 
         103           10            0            8          17.0585          1.70701 
         104           10            0            8          38.5667             2.85 
         105           10            0            8          29.1268          2.91466 
         106           10            0            8          48.1902             2.85 
         103           11            0            8          20.4323          2.04462 
         104           11            0            8          39.8563             2.85 
         105           11            0            8          23.6032          2.36192 
         106           11            0            8          52.5125             2.85 
         103           12            0            8          21.3226          2.13371 
         104           12            0            8          51.9964             2.85 
         105           12            0            8          23.1005          2.31162 
         106           12            0            8          48.2051             2.85 
         103            2            0            9          6.76679         0.677139 
         104            2            0            9          13.2964             2.85 
         105            2            0            9          7.04841         0.705319 
         106            2            0            9          11.6752             2.85 
         103            3            0            9           8.7975         0.880347 
         104            3            0            9          16.0191             2.85 
         105            3            0            9          10.0747          1.00815 
         106            3            0            9           12.342             2.85 
         103            4            0            9          10.8832          1.08906 
         104            4            0            9          16.6503             2.85 
         105            4            0            9          12.1004          1.21086 
         106            4            0            9          15.5216             2.85 
         103            5            0            9          12.9598          1.29686 
         104            5            0            9          23.1114             2.85 
         105            5            0            9          16.8444          1.68558 
         106            5            0            9          21.2757             2.85 
         103            6            0            9          15.0161          1.50263 
         104            6            0            9          24.1626             2.85 
         105            6            0            9          22.1647          2.21797 
         106            6            0            9          21.9503             2.85 
         103            7            0            9           16.769          1.67804 
         104            7            0            9          28.8433             2.85 
         105            7            0            9          25.3888          2.54061 
         106            7            0            9          31.5695             2.85 
         103            8            0            9          22.5367           2.2552 
         104            8            0            9          22.6101             2.85 
         105            8            0            9          30.8991          3.09201 
         106            8            0            9          39.9256             2.85 
         103            9            0            9          17.9043          1.79165 
         104            9            0            9          32.6469             2.85 
         105            9            0            9          32.4363          3.24583 
         106            9            0            9          40.1724             2.85 
         103           10            0            9           22.171          2.21861 
         104           10            0            9          40.1558             2.85 
         105           10            0            9          29.3378          2.93577 
         106           10            0            9          47.2787             2.85 
         103           11            0            9          21.2242          2.12386 
         104           11            0            9          45.6604             2.85 
         105           11            0            9           24.731          2.47478 
         106           11            0            9            50.69             2.85 
         103           12            0            9          24.5847          2.46014 
         104           12            0            9          41.5652             2.85 
         105           12            0            9          22.6133          2.26286 
         106           12            0            9          53.7631             2.85 
         103            2            0           10          6.07549         0.607962 
         104            2            0           10          13.4662             2.85 
         105            2            0           10          8.22551         0.823109 
         106            2            0           10          10.8102             2.85 
         103            3            0           10          8.82084         0.882683 
         104            3            0           10          15.6209             2.85 
         105            3            0           10          12.0542          1.20623 
         106            3            0           10          12.4939             2.85 
         103            4            0           10          11.0492          1.10567 
         104            4            0           10          18.9374             2.85 
         105            4            0           10          14.7528          1.47628 
         106            4            0           10          13.7167             2.85 
         103            5            0           10           12.332          1.23404 
         104            5            0           10          22.2327             2.85 
         105            5            0           10          20.4731           2.0487 
         106            5            0           10          19.2188             2.85 
         103            6            0           10          14.7927          1.48028 
         104            6            0           10          25.3437             2.85 
         105            6            0           10          25.1435          2.51605 
         106            6            0           10          24.2847             2.85 
         103            7            0           10           16.468          1.64791 
         104            7            0           10          29.2778             2.85 
         105            7            0           10          25.5587           2.5576 
         106            7            0           10          30.9261             2.85 
         103            8            0           10          22.0897          2.21047 
         104            8            0           10          32.6111             2.85 
         105            8            0           10          28.4806          2.84999 
         106            8            0           10          41.1042             2.85 
         103            9            0           10          20.2485          2.02622 
         104            9            0           10          34.1097             2.85 
         105            9            0           10          31.9352          3.19569 
         106            9            0           10          44.9849             2.85 
         103           10            0           10          20.9536          2.09678 
         104           10            0           10          41.2601             2.85 
         105           10            0           10          28.3349          2.83541 
         106           10            0           10          49.6631             2.85 
         103           11            0           10          20.8231          2.08373 
         104           11            0           10          42.6566             2.85 
         105           11            0           10          26.4763          2.64943 
         106           11            0           10          53.1692             2.85 
         103           12            0           10          22.1005          2.21155 
         104           12            0           10          42.2448             2.85 
         105           12            0           10          22.5966          2.26119 
         106           12            0           10           56.824             2.85 
         103            2            0           11          4.99233         0.499572 
         104            2            0           11          7.69301             2.85 
         105            2            0           11          10.9574          1.09649 
         106            2            0           11          2.13312             2.85 
         103            3            0           11          7.59709         0.760224 
         104            3            0           11          13.5329             2.85 
         105            3            0           11          14.2539          1.42636 
         106            3            0           11          10.7604             2.85 
         103            4            0           11          9.11265         0.911883 
         104            4            0           11          11.5059             2.85 
         105            4            0           11          18.1441          1.81564 
         106            4            0           11          11.2153             2.85 
         103            5            0           11          13.1981           1.3207 
         104            5            0           11          21.7609             2.85 
         105            5            0           11          26.2724          2.62902 
         106            5            0           11          23.6264             2.85 
         103            6            0           11          13.1683          1.31772 
         104            6            0           11          21.9896             2.85 
         105            6            0           11          29.0264          2.90461 
         106            6            0           11          23.6239             2.85 
         103            7            0           11          14.2896          1.42993 
         104            7            0           11          30.6007             2.85 
         105            7            0           11          37.2476          3.72728 
         106            7            0           11          25.4467             2.85 
         103            8            0           11          17.6404          1.76524 
         104            8            0           11          32.3238             2.85 
         105            8            0           11          46.4313          4.64628 
         106            8            0           11          38.3809             2.85 
         103            9            0           11          19.0365          1.90494 
         104            9            0           11          37.6195             2.85 
         105            9            0           11          46.4972          4.65288 
         106            9            0           11          46.1766             2.85 
         103           10            0           11           17.092          1.71036 
         104           10            0           11          39.3184             2.85 
         105           10            0           11          43.4479          4.34774 
         106           10            0           11          44.7961             2.85 
         103           11            0           11          18.8088          1.88215 
         104           11            0           11          40.8432             2.85 
         105           11            0           11          38.1358          3.81617 
         106           11            0           11          50.4051             2.85 
         103           12            0           11          20.4462          2.04601 
         104           12            0           11          40.0485             2.85 
         105           12            0           11          33.3614           3.3384 
         106           12            0           11          50.9557             2.85 
         103            2            0           12          4.91521         0.491854 
         104            2            0           12          9.59161             2.85 
         105            2            0           12          9.30017         0.930649 
         106            2            0           12          5.09884             2.85 
         103            3            0           12          7.59462         0.759977 
         104            3            0           12          15.1846             2.85 
         105            3            0           12          13.3295          1.33385 
         106            3            0           12          11.0826             2.85 
         103            4            0           12           9.5008         0.950725 
         104            4            0           12          16.4067             2.85 
         105            4            0           12          16.5788            1.659 
         106            4            0           12          14.4953             2.85 
         103            5            0           12          11.2797          1.12874 
         104            5            0           12          18.8066             2.85 
         105            5            0           12          21.1111          2.11254 
         106            5            0           12          19.1117             2.85 
         103            6            0           12            13.29           1.3299 
         104            6            0           12          22.7784             2.85 
         105            6            0           12          26.1125          2.61302 
         106            6            0           12          19.6852             2.85 
         103            7            0           12          18.0574          1.80696 
         104            7            0           12          25.5901             2.85 
         105            7            0           12          32.6288          3.26509 
         106            7            0           12          29.5458             2.85 
         103            8            0           12           17.488          1.74999 
         104            8            0           12          28.5178             2.85 
         105            8            0           12          36.1885          3.62131 
         106            8            0           12           36.171             2.85 
         103            9            0           12          18.6388          1.86514 
         104            9            0           12          35.1353             2.85 
         105            9            0           12          40.4122          4.04397 
         106            9            0           12          40.3293             2.85 
         103           10            0           12          21.4501          2.14646 
         104           10            0           12          40.0491             2.85 
         105           10            0           12          33.9299           3.3953 
         106           10            0           12          47.0714             2.85 
         103           11            0           12           20.749          2.07631 
         104           11            0           12          42.9089             2.85 
         105           11            0           12          29.8437           2.9864 
         106           11            0           12          52.1425             2.85 
         103           12            0           12          19.4927           1.9506 
         104           12            0           12          40.8819             2.85 
         105           12            0           12          31.2017          3.12229 
         106           12            0           12          54.4835             2.85 
         103            2            0           13           5.3095          0.53131 
         104            2            0           13          9.98388             2.85 
         105            2            0           13          6.79207         0.679668 
         106            2            0           13          7.50642             2.85 
         103            3            0           13          7.63902         0.764421 
         104            3            0           13          13.2004             2.85 
         105            3            0           13          9.59799          0.96045 
         106            3            0           13          10.2143             2.85 
         103            4            0           13          10.4018          1.04088 
         104            4            0           13          16.7215             2.85 
         105            4            0           13          12.8197          1.28284 
         106            4            0           13           13.688             2.85 
         103            5            0           13          11.3489          1.13566 
         104            5            0           13          21.4086             2.85 
         105            5            0           13          15.6173          1.56279 
         106            5            0           13          18.7265             2.85 
         103            6            0           13          15.2571          1.52675 
         104            6            0           13          23.6454             2.85 
         105            6            0           13          19.0726          1.90855 
         106            6            0           13          20.4966             2.85 
         103            7            0           13          17.1731          1.71847 
         104            7            0           13          26.7136             2.85 
         105            7            0           13          24.8895          2.49064 
         106            7            0           13          27.0821             2.85 
         103            8            0           13          19.3419           1.9355 
         104            8            0           13          31.1175             2.85 
         105            8            0           13          26.9943          2.70126 
         106            8            0           13          34.7289             2.85 
         103            9            0           13          21.3453          2.13598 
         104            9            0           13          35.9724             2.85 
         105            9            0           13           29.838          2.98582 
         106            9            0           13          41.0069             2.85 
         103           10            0           13          21.9464          2.19613 
         104           10            0           13           38.266             2.85 
         105           10            0           13          28.3682          2.83875 
         106           10            0           13          45.6128             2.85 
         103           11            0           13          20.8906          2.09047 
         104           11            0           13          41.2138             2.85 
         105           11            0           13          25.9071          2.59246 
         106           11            0           13          51.8917             2.85 
         103           12            0           13          22.0673          2.20823 
         104           12            0           13          42.6263             2.85 
         105           12            0           13          24.4527          2.44693 
         106           12            0           13          55.0759             2.85 
         103            2            0           14          7.66514         0.767034 
         104            2            0           14          14.1428             2.85 
         105            2            0           14          13.0078          1.30166 
         106            2            0           14          13.6689             2.85 
         103            3            0           14          9.57717         0.958367 
         104            3            0           14            19.33             2.85 
         105            3            0           14          18.4234          1.84359 
         106            3            0           14          16.8775             2.85 
         103            4            0           14          12.7216          1.27302 
         104            4            0           14          22.1306             2.85 
         105            4            0           14          23.8531          2.38693 
         106            4            0           14          21.0508             2.85 
         103            5            0           14          12.6592          1.26678 
         104            5            0           14          25.7516             2.85 
         105            5            0           14          30.4816          3.05023 
         106            5            0           14          26.0727             2.85 
         103            6            0           14          16.8421          1.68535 
         104            6            0           14          28.7878             2.85 
         105            6            0           14          34.4166            3.444 
         106            6            0           14          28.4744             2.85 
         103            7            0           14          17.4208          1.74327 
         104            7            0           14          29.5885             2.85 
         105            7            0           14          40.1681          4.01953 
         106            7            0           14          36.0791             2.85 
         103            8            0           14           19.077            1.909 
         104            8            0           14            32.69             2.85 
         105            8            0           14          47.8314          4.78638 
         106            8            0           14          43.8297             2.85 
         103            9            0           14            22.93          2.29456 
